Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,13,Ні,Так,13,Бакалавр,Тп-31м
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,13,Ні,Так,13,Бакалавр,Тп-31м
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2009,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,КМ-33
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2004,Магістр або спеціаліст,20,Моєю перевагою була наявність диплому,Так,20,Кандидатський чи докторський ступінь,
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,6,Ні,Так,6,Кандидатський чи докторський ступінь,Конструювання верстатів та машин
"Навчатися там, де я навчався",Так,Ні,2005,Магістр або спеціаліст,21,Моєю перевагою була наявність диплому,Так,21,Кандидатський чи докторський ступінь,УК-91
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДГ-71
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,1992,Магістр або спеціаліст,9,"Інша ситуація, наявність диплому була важливою",Так,9,Магістр або спеціаліст,фс-61
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Магістр або спеціаліст,18,Ні,Так,18,Бакалавр,Звукотехніки та реєстрації інформації
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2004,Магістр або спеціаліст,23,Ні,Так,23,Кандидатський чи докторський ступінь,Прикладної математики 
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2008,Магістр або спеціаліст,17,"Інша ситуація, наявність диплому була важливою",Так,17,Магістр або спеціаліст,ЕВ-21
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2008,Магістр або спеціаліст,17,"Інша ситуація, наявність диплому була важливою",Так,,Бакалавр,ЕВ
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі",Ні,2015,Бакалавр,19,Ні,Так,19,Бакалавр,ОТ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",None,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,Пснк
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",1996,Магістр або спеціаліст,13,Моєю перевагою була наявність диплому,Так,13,Кандидатський чи докторський ступінь,АТЕП/ТА-01
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,6,Ні,Так,6,Магістр або спеціаліст,МЛ-41м
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,13,Ні,Ні,13,Магістр або спеціаліст,АПЕПС
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,13,Моєю перевагою була наявність диплому,Так,13,Кандидатський чи докторський ступінь,ТА-81
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,"Вчився в КПІ, але не закінчив навчання",19,Ні,Так,19,Не закінчував би КПІ,ТК
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Км
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Км
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДЕ-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,КЕОА
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Промислова електроніка
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Бакалавр,18,Ні,Так,18,Бакалавр,ДЕ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,19,Ні,Так,19,Кандидатський чи докторський ступінь,ОТ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Кандидатський чи докторський ступінь,КМ-31м
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Фбме
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Фбме
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2007,Бакалавр,23,Ні,Так,23,Кандидатський чи докторський ступінь,КМ-32
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,"Вчився в КПІ, але не закінчив навчання",11,"Не надіслав резюме через те, що не мав диплому",Так,11,Магістр або спеціаліст,пк-31
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,4,Моєю перевагою була наявність диплому,Так,4,Магістр або спеціаліст,Видавнича справа та редагування
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,21,Ні,Так,21,Кандидатський чи докторський ступінь,Менеджмент
"Навчатися там, де я навчався",Не працюю,"Так, не за спеціальністю",1995,Магістр або спеціаліст,9,"Інша ситуація, наявність диплому була важливою",Ні,9,Магістр або спеціаліст,Фм-01
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,24,Ні,Так,24,Магістр або спеціаліст,ом-41с
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,24,Ні,Так,24,Магістр або спеціаліст,ом-41с
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2013,Магістр або спеціаліст,10,Моєю перевагою була наявність диплому,Так,10,Магістр або спеціаліст,ХПСМ
Не навчатися в ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,6,Ні,Так,6,Бакалавр,ЛТФТ
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2006,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,пм
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Магістр або спеціаліст,КМ-91
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2008,Магістр або спеціаліст,11,"Інша ситуація, наявність диплому була важливою",Так,11,Магістр або спеціаліст,Пк
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,20,Ні,Так,20,Магістр або спеціаліст,ЛА-41м
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,23,Ні,Так,23,Не закінчував би КПІ,Прикладна математика
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КМ-33
"Навчатися там, де я навчався",Так,Ні,2014,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,ММСА
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2016,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,ТС-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2016,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,ТС-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Бакалавр,4,Ні,Так,4,Магістр або спеціаліст,Видавнича справа та редагування/СР-12
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,22,Ні,Так,22,Кандидатський чи докторський ступінь,
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2016,Магістр або спеціаліст,21,Ні,Так,21,Кандидатський чи докторський ступінь,менеджменту
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,6,Моєю перевагою була наявність диплому,Так,6,Кандидатський чи докторський ступінь,КВтМ
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Ні,2,Магістр або спеціаліст,ММСА
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Бакалавр,17,Ні,Так,17,Бакалавр,ЕС-02
Навчатися в іншому ВНЗ,Так,Ні,2013,Магістр або спеціаліст,25,Ні,Так,25,Магістр або спеціаліст,ХО
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2015,Бакалавр,19,Ні,Так,19,Магістр або спеціаліст,АСОІУ
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2010,Магістр або спеціаліст,21,Ні,Так,21,Кандидатський чи докторський ступінь,ММЕС
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2016,Магістр або спеціаліст,15,Ні,Так,15,Магістр або спеціаліст,
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,6,Ні,Так,6,Магістр або спеціаліст,ма-81
Не навчатися в ВНЗ,Не працюю,Ні,2015,Бакалавр,15,Ні,Ні,15,Не закінчував би КПІ,шь
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,8,Ні,Так,8,Бакалавр,зв
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,12,Ні,Так,12,Не закінчував би КПІ,Кивра
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,25,"Інша ситуація, наявність диплому була важливою",Так,25,Магістр або спеціаліст,ТЕХВ
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,11,Ні,Ні,11,Бакалавр,Оптичних та оптико-електронних приладів
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2011,Магістр або спеціаліст,25,Моєю перевагою була наявність диплому,Так,25,Кандидатський чи докторський ступінь,хк
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,6,Ні,Так,6,Кандидатський чи докторський ступінь,ТМ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,13,Ні,Так,13,Магістр або спеціаліст,ТЯ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,3,Ні,Так,3,Не закінчував би КПІ,Інформаційно-Телекомунікаційних Мереж 
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,19,"Інша ситуація, наявність диплому була важливою",Так,19,Магістр або спеціаліст,ОТ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,13,"Інша ситуація, наявність диплому була важливою",Так,13,Кандидатський чи докторський ступінь,ТЯ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Ні,5,Бакалавр,Автоматизації управління електротехнічними комплексами
"Навчатися в КПІ, але за іншим напрямом",Не працюю,Ні,2016,Магістр або спеціаліст,25,"Інша ситуація, наявність диплому була важливою",Ні,25,Магістр або спеціаліст,Композиционные материалы
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,25,"Не надіслав резюме через те, що не мав диплому",Так,25,Магістр або спеціаліст,ХК
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,ТІ/ТІ-91
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",None,"Вчився в КПІ, але не закінчив навчання",15,Ні,Так,15,Кандидатський чи докторський ступінь,
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,17,Ні,Так,17,Магістр або спеціаліст,ЕМ-31с
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Так,5,Магістр або спеціаліст,ОЕ-82
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Бакалавр,19,Ні,Так,19,Бакалавр,іа-02
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2011,Магістр або спеціаліст,13,Ні,Ні,13,Кандидатський чи докторський ступінь,АТЭП
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2014,Магістр або спеціаліст,17,Моєю перевагою була наявність диплому,Так,17,Магістр або спеціаліст,ЕТ
"Навчатися там, де я навчався",Не працюю,"Так, не за спеціальністю",2016,Магістр або спеціаліст,19,Ні,Так,19,Не закінчував би КПІ,АУТС
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,13,Ні,Так,13,Бакалавр,ТР-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,17,"Інша ситуація, наявність диплому була важливою",Так,17,Магістр або спеціаліст,ЕМ-81
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,17,"Інша ситуація, наявність диплому була важливою",Так,17,Магістр або спеціаліст,ЕМ-81
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,2,Ні,Так,2,Бакалавр,ДА-92
"Навчатися там, де я навчався",Так,Ні,2015,Бакалавр,17,Ні,Так,17,Бакалавр,автоматизація електромеханічних систем та електроприводу
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,15,Ні,Так,15,Магістр або спеціаліст,Лікувально-діагностичних комплексів
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2011,Бакалавр,18,"Інша ситуація, наявність диплому була важливою",Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,6,Ні,Так,6,Кандидатський чи докторський ступінь,мтс-31
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2014,Бакалавр,2,Ні,Так,2,Не закінчував би КПІ,КА-02
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2010,Кандидатський чи докторський ступінь,21,Ні,Ні,21,Магістр або спеціаліст,математичного моделювання економічних систем/ук-41
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Так,5,Магістр або спеціаліст,Ое
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Так,5,Магістр або спеціаліст,Ое
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,2016,Магістр або спеціаліст,3,Ні,Так,3,Кандидатський чи докторський ступінь,ІТМ
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2009,Магістр або спеціаліст,19,Моєю перевагою була наявність диплому,Так,19,Кандидатський чи докторський ступінь,тк
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,23,Ні,Так,23,Бакалавр,СПСКС
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,АУЕК
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,Оптико и оптикоэлектронные приборы
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,"Вчився в КПІ, але не закінчив навчання",5,"Не надіслав резюме через те, що не мав диплому",Так,5,Магістр або спеціаліст,
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2012,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДК-61
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,5,Ні,Ні,5,Магістр або спеціаліст,ОН-32с
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,12,Ні,Так,12,Кандидатський чи докторський ступінь,РОС РА-41с
"Навчатися там, де я навчався",Так,Ні,2015,Магістр або спеціаліст,23,"Не надіслав резюме через те, що не мав диплому",Так,23,Магістр або спеціаліст,Кафедра прикладної математики
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,5,"Не надіслав резюме через те, що не мав диплому",Так,5,Магістр або спеціаліст,ОМ-42с
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,12,Ні,Так,12,Кандидатський чи докторський ступінь,РОС РА-41с
Навчатися в іншому ВНЗ,Так,Ні,2015,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,АСОІУ/IC-92
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,4,Ні,Так,4,Магістр або спеціаліст,Репрографії
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,6,Ні,Ні,6,Кандидатський чи докторський ступінь,МТ
"Навчатися там, де я навчався",Не працюю,"Так, не за спеціальністю",2011,Магістр або спеціаліст,2,Ні,Так,2,Бакалавр,KA-51
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2006,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДК-03
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,
"Навчатися там, де я навчався",Не працюю,Ні,2016,"Вчився в КПІ, але не закінчив навчання",7,Ні,Так,7,Бакалавр,Фізика енергетичних систем 
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,6,"Інша ситуація, наявність диплому була важливою",Так,6,Магістр або спеціаліст,инструментальне выробництво
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2015,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,Он-32с
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2015,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,Он-32с
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,6,Ні,Так,6,Магістр або спеціаліст,Кафедра конструювання верстатів та машин
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Бакалавр,13,Ні,Так,13,Бакалавр,Тв-02
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,14,Ні,Так,14,Магістр або спеціаліст,nhk
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2005,Магістр або спеціаліст,13,"Інша ситуація, наявність диплому була важливою",Так,13,Магістр або спеціаліст,ТЕУ ТЕС та АЕС
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,12,"Інша ситуація, наявність диплому була важливою",Так,12,Магістр або спеціаліст,КИПРА
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2005,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДК
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,2,Ні,Ні,2,Магістр або спеціаліст,ММСА
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2009,Магістр або спеціаліст,18,Ні,Так,18,Не закінчував би КПІ,ДЗ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,6,Моєю перевагою була наявність диплому,Так,6,Кандидатський чи докторський ступінь,мп-31м
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2008,Бакалавр,2,Ні,Так,2,Кандидатський чи докторський ступінь,ка-13
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2010,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,ОТ
Навчатися в іншому ВНЗ,Так,Ні,2015,Бакалавр,23,Ні,Так,23,Бакалавр,КМ-12
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,13,Ні,Так,13,Бакалавр,ТВ-01
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,"Вчився в КПІ, але не закінчив навчання",9,Ні,Ні,9,Кандидатський чи докторський ступінь,ФК-21
Не навчатися в ВНЗ,Так,Ні,2014,Бакалавр,23,Ні,Так,23,Не закінчував би КПІ,
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2000,Магістр або спеціаліст,25,"Інша ситуація, наявність диплому була важливою",Так,25,Магістр або спеціаліст,ХВ-41
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2000,Кандидатський чи докторський ступінь,21,Моєю перевагою була наявність диплому,Так,21,Кандидатський чи докторський ступінь,Кафедра промислового маркетингу
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Ні,5,Магістр або спеціаліст,АУЕК
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",1998,Магістр або спеціаліст,21,Моєю перевагою була наявність диплому,Так,21,Магістр або спеціаліст,Промислового маркетингу
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, за спеціальністю",2002,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,фф-51
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,км
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Кв-81
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Кв-81
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,19,Ні,Так,19,Магістр або спеціаліст,Аутс
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,11,Ні,Так,11,Бакалавр,ПБ42с
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Бакалавр,23,Ні,Так,23,Магістр або спеціаліст,КМ-02
Не навчатися в ВНЗ,Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Бакалавр,АСОІУ
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі",Ні,None,"Вчився в КПІ, але не закінчив навчання",7,"Інша ситуація, наявність диплому була важливою",Так,7,Не закінчував би КПІ,Фі
Не навчатися в ВНЗ,Не працюю,"Так, не за спеціальністю",2009,Магістр або спеціаліст,21,Ні,Так,21,Не закінчував би КПІ,Міжнародної економіки
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,"Вчився в КПІ, але не закінчив навчання",12,Ні,Так,12,Не закінчував би КПІ,РВ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,19,Ні,Так,19,Бакалавр,
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,19,Ні,Так,19,Бакалавр,
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2011,Магістр або спеціаліст,2,Ні,Так,2,Бакалавр,КА-53
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,23,"Не надіслав резюме через те, що не мав диплому",Так,23,Магістр або спеціаліст,ПЗКС
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2008,Магістр або спеціаліст,24,"Інша ситуація, наявність диплому була важливою",Так,24,Кандидатський чи докторський ступінь,Фізика ОФ-21
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,ПБ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,ПБ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2013,Магістр або спеціаліст,21,Моєю перевагою була наявність диплому,Так,21,Магістр або спеціаліст,Міжнародна економіка
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2013,Магістр або спеціаліст,12,"Інша ситуація, наявність диплому була важливою",Так,12,Магістр або спеціаліст,"КіВРА, РБ-71"
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",None,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,НАЕПС
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2007,Магістр або спеціаліст,20,Моєю перевагою була наявність диплому,Так,20,Магістр або спеціаліст,ЛА-21
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,21,Ні,Так,21,Магістр або спеціаліст,Пм
