Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2008,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,"Фибме, ДМ21"
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,км-41с
Не навчатися в ВНЗ,Так,"Так, за спеціальністю",None,"Вчився в КПІ, але не закінчив навчання",4,Ні,Так,4,Не закінчував би КПІ,
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2001,Кандидатський чи докторський ступінь,25,"Інша ситуація, наявність диплому була важливою",Так,25,Кандидатський чи докторський ступінь,ХА-51
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Кандидатський чи докторський ступінь,2,Ні,Так,2,Кандидатський чи докторський ступінь,КА-71
"Навчатися там, де я навчався",Так,Ні,2013,Бакалавр,2,Ні,Так,2,Бакалавр,KA-91
"Навчатися там, де я навчався",Так,Ні,2013,Бакалавр,2,Ні,Так,2,Бакалавр,KA-91
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Кандидатський чи докторський ступінь,ІС-31м
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,дг
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Кандидатський чи докторський ступінь,2,Ні,Так,2,Кандидатський чи докторський ступінь,ММСА
"Навчатися там, де я навчався",Так,Ні,2013,Бакалавр,23,Ні,Так,23,Бакалавр,км-91
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Бакалавр,2,Ні,Так,2,Бакалавр,ММСА
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,2009,Магістр або спеціаліст,10,Ні,Так,10,Магістр або спеціаліст,МАХНВ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2013,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,ММСА
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2007,Кандидатський чи докторський ступінь,18,Ні,Так,18,Кандидатський чи докторський ступінь,ФБМЕ - ДМ-11
"Навчатися там, де я навчався",Так,Ні,2013,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Кандидатський чи докторський ступінь,Фбме
"Навчатися там, де я навчався",Так,Ні,2013,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Кандидатський чи докторський ступінь,Фбме
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,4,Ні,Так,4,Магістр або спеціаліст,ОВПК
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Так,2,Кандидатський чи докторський ступінь,Ка81
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2016,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Км-41с
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,ка-72
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",None,Бакалавр,19,"Не надіслав резюме через те, що не мав диплому",Так,19,Бакалавр,
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,КА-82
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Бакалавр,4,Ні,Так,4,Магістр або спеціаліст,СТ-81
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,2,"Інша ситуація, наявність диплому була важливою",Так,2,Магістр або спеціаліст,ММСА ка-84
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,KA-84
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ФІ-61
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,2,"Не надіслав резюме через те, що не мав диплому",Так,2,Магістр або спеціаліст,
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,2,"Не надіслав резюме через те, що не мав диплому",Так,2,Магістр або спеціаліст,
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Не закінчував би КПІ,ФІ
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ЗТтРІ
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ЗТтРІ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДЕ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2002,Магістр або спеціаліст,18,"Інша ситуація, наявність диплому була важливою",Так,18,Кандидатський чи докторський ступінь,акустики та акустоелектроніки
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2002,Магістр або спеціаліст,18,"Інша ситуація, наявність диплому була важливою",Так,18,Кандидатський чи докторський ступінь,акустики та акустоелектроніки
"Навчатися там, де я навчався",Так,Ні,2014,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,ММСА
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Не закінчував би КПІ,
Навчатися в іншому ВНЗ,Не працюю,"Так, не за спеціальністю",2015,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,БІКС
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",None,"Вчився в КПІ, але не закінчив навчання",23,Ні,Так,23,Бакалавр,КМ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Не закінчував би КПІ,ДП-42
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,2,"Інша ситуація, наявність диплому була важливою",Так,2,Кандидатський чи докторський ступінь,ММСА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,КА-73
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Дг
